Address,Town/City,Business Type,Color,Municipality,Security,Town Population,Municipality Population
"cnr Edison Crescent and Maxwell Street,Sunninghill,Sandton",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"cnr 5th and Maude Street,Sandown,Sandton",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"5th Level, Banking Mall, Sandton City, Rivonia Road,Sandhurst,Sandhurst",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"50 Katheine Drive,Wierda Valley,Sandton",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"cnr Caltine and Pretoria Street,Sandown,Sandton",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"129 Rivonia Road,Sandown,Sandton",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"Sandton South Campus, 15 Alice Lane,Sandhurst,Sandhurst",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"15 Alice Road,Sandhurst,Sandton",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"Shop 202, Benmore Gardens Shopping Centre, Cnr Benmore Road And Grayston Drive,Benmore Gardens,Benmore Gardens",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"Cnr West and Benmore Street,Benmore Gardens,Sandton",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"Vunani Office Park, 151 Katherine Street,Simba,Sandton",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"Thrupps  Shopping Centre,Illovo,Sandton",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"cnr Arkwright Avenue and Andries Street,Wynberg,Sandton",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"1732 Rivonia Road,Morningside,Sandton",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"3rd Street,Wynberg,Sandton",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"Pan Africa Shopping Centre, Watt Street,Wynberg,Sandton",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
